"IDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","RETRINOIN","RETRIIN","GEXTRA","VESPNOIN","VESPIN","ANOS2","FACTOTAL"
24671,3,6,"F0",1,2,1,1,1,2,"P0",0,2,2,0,1,1,0,0,0,30,0,1740,40,0,0,31,6,0,6,0,1005.23,0,0,427.43,0,87.67,111.03,1748.69,12,0,6,0,6,0,6,0,6,0,21041.27,0,3847.97,0,0,3,7.05
8140,6,1,"Q0",2,2,2,1,6,1,"H0",0,3,1,4,2,1,0,0,0,30,0,920,20,0,0,31,6,0,6,0,871.64,0,0,28.64,0,17.43,65.27,1019.7,12,0,1,26,6,0,6,0,6,0,12026.95,639.08,1698.77,0,0,4,7
15081,22,5,"O0",3,1,1,5,1,1,"I0",0,3,12,0,1,2,0,0,22,0,0,1635,37,30,0,31,6,0,6,0,804.19,0,0,1910.29,0,714.98,225.97,3558.52,12,0,6,0,6,0,6,0,6,0,47054.33,0,5262.84,0,0,3,30.44
11119,4,4,"M0",1,2,1,1,6,1,"C0",1,6,6,4,1,1,0,0,0,30,10,1687,39,0,0,31,6,0,6,0,2500.01,0,0,0,0,416.5,158.75,2500.01,12,0,6,0,6,0,6,0,6,0,35156.44,0,0,0,0,3,21.14
15970,5,4,"C8",1,2,2,1,1,1,"K0",0,2,1,1,1,2,0,0,0,30,2,1760,40,0,0,31,6,0,6,0,1225.12,0,0,85.8,0,137.78,99.99,1562.41,12,0,1,7,6,0,6,0,6,0,17701.87,481.53,2792.74,0,0,5,10.4
10835,10,3,"C1",3,2,4,2,1,1,"P0",0,4,32,1,1,1,0,0,25,0,1,1768,40,0,0,31,6,0,6,0,1000,0,0,1190,0,426,171,2702,12,0,6,0,6,0,6,0,6,0,32909,0,5948,687,0,5,15.59
9893,1,4,"C4",1,2,3,1,6,1,"P0",0,4,9,6,1,1,0,0,0,30,0,1752,40,0,0,31,6,0,6,0,1368.94,0,0,63.43,0,128.91,105.44,1660.53,12,0,6,0,6,0,6,0,6,0,19983.79,0,2722.7,0,0,4,2.86
12272,20,3,"P0",3,2,1,1,1,1,"B0",0,6,3,0,2,1,7,0,0,41,5,258,6,0,0,31,6,0,6,0,155.72,0,0,63.28,0,0,13.9,219,7,0,1,8,6,0,6,0,6,0,2853.82,71.96,0,0,0,3,72.61
20399,10,5,"N0",2,2,1,2,6,1,"O0",0,2,0,3,2,1,0,0,0,30,0,989,21,30,25,31,6,0,6,0,565.26,0,179.27,0,0,14.97,39.27,835.49,5,3,6,0,6,0,6,0,6,0,3551.25,0,172.77,0,0,6,98.84
4703,12,3,"G1",3,2,2,4,1,1,"D0",0,4,17,8,1,1,0,0,26,0,0,1752,40,0,0,31,6,0,6,0,1533.05,2156.62,0,661.52,0,802.5,187.81,2957.62,12,0,1,7,6,0,6,0,6,0,37708.06,602.91,12712.43,3832.69,0,4,77.66
3457,8,6,"O0",2,1,1,3,1,1,"H0",0,4,27,1,1,1,0,0,25,0,8,1642,37,30,0,31,1,5,6,0,1873.03,0,0,0,0,241.6,115.63,1820.99,12,0,1,12,6,0,6,0,6,0,25027.53,518.46,3069.62,0,0,5,242.14
6836,4,1,"I0",2,1,4,4,1,1,"G0",1,3,17,10,1,1,0,0,0,31,2,1682,37,30,25,31,6,0,6,0,1200.15,0,499.47,1055.04,130.26,435.61,204.11,2714.79,12,0,6,0,1,111,6,0,6,0,26334.11,0,12439.24,432.59,0,4,7.31
8903,15,4,"Q0",2,2,1,1,6,1,"H0",0,4,13,6,1,1,0,0,0,30,0,1792,40,0,0,31,6,0,6,0,997.16,0,0,131.09,56.13,0,83,1306.94,12,0,1,1,6,0,6,0,6,0,16691.71,1,2138.35,0,0,3,14.86
2770,2,7,"H2",1,2,4,1,1,1,"E0",1,5,12,5,1,1,0,0,23,0,0,1760,40,0,0,31,6,0,6,0,751.3,0,0,2198.72,0,559.03,187.33,2950.02,12,0,6,0,6,0,6,0,6,0,33588.99,0,0,0,0,6,98.43
159,20,2,"C7",3,2,4,4,1,1,"L0",0,4,0,6,1,1,0,0,0,30,0,1760,40,0,0,31,6,0,6,0,1182.03,0,0,0,0,165.48,126.08,1182.03,8,0,6,0,6,0,6,0,6,0,13448.57,0,1718.9,0,0,2,21.92
10832,10,5,"J0",3,2,2,1,1,1,"D0",0,5,0,7,1,1,0,0,22,0,0,1800,40,0,0,31,6,0,6,0,1050.43,0,0,1381,0,366.56,179.92,2833.34,8,6,6,0,6,0,6,0,6,0,23194.21,0,210,0,0,2,47.54
21377,5,3,"G1",3,2,2,3,1,1,"C0",1,7,16,8,1,1,0,0,27,0,4,1739,40,0,0,31,6,0,6,0,3644.77,0,0,525.67,0,1116.84,262.85,4139.4,12,0,6,0,6,0,6,0,6,0,71051.31,0,16979.76,715.64,0,4,73.4
10844,18,3,"C1",3,2,2,3,6,1,"C0",1,7,13,5,1,1,0,0,23,0,5,1680,37,30,0,31,6,0,6,0,5233.24,0,0,85,0,1600.91,262.85,4139.4,12,0,6,0,6,0,6,0,6,0,78679,0,0,166.86,0,4,10.67
4414,6,4,"C8",2,2,4,4,1,1,"M0",0,3,3,11,1,1,0,0,24,0,0,1800,40,0,0,31,6,0,6,0,1014.4,0,0,343.38,0,149.36,143.26,2255.97,12,0,6,0,6,0,6,0,6,0,23592.45,0,7299.09,0,0,3,5.1
3856,4,6,"H2",2,1,2,1,1,1,"E0",0,3,43,0,1,1,0,0,26,0,5,1647,37,30,0,31,6,0,6,0,1491.76,0,0,1478.4,0,222.17,195.19,3073.81,12,0,1,19,6,0,6,0,6,0,35136.56,1496.64,3656.04,1097.2,0,6,9.75
14580,2,4,"S0",1,2,1,2,6,1,"F0",0,2,1,3,1,1,0,0,0,30,0,1826,40,0,0,31,6,0,6,0,1056.14,0,0,0,0,97.93,84.59,1332.16,12,0,6,0,6,0,6,0,6,0,16648.92,0,0,165.37,0,5,28.31
18467,14,6,"C4",3,2,2,1,1,1,"L0",0,3,0,4,1,1,0,0,0,15,0,1840,40,0,18,31,6,0,6,0,1446.24,0,247.9,88.83,0,142.64,116.16,1815,6,0,6,0,6,0,6,0,6,0,11781.46,0,1509.67,0,0,5,14.61
19557,7,2,"C6",3,2,4,2,1,1,"M0",0,3,8,0,1,1,0,0,0,39,0,1760,40,0,16,31,6,0,6,0,1172.69,0,307.36,933.19,96,322.2,95.53,2032.46,12,0,1,3,6,0,6,0,6,0,27014.66,305.01,4519.67,0,0,4,22.49
